Year,Month,Category,TargetSalesAmount
2018,1,Accessories,201294.61
2018,1,Clothing,133722.56
2018,1,Electronics,154305.13
2018,1,Furniture,107767.12
2018,1,Kitchen,181984.61
2018,1,Outdoors,136805.18
2018,2,Accessories,178828.87
2018,2,Clothing,138200.37
2018,2,Electronics,115697.6
2018,2,Furniture,89576.46
2018,2,Kitchen,124699.07
2018,2,Outdoors,99105.75
2018,3,Accessories,117025.97
2018,3,Clothing,148976.66
2018,3,Electronics,170113.7
2018,3,Furniture,122471.82
2018,3,Kitchen,147141.31
2018,3,Outdoors,131284.63
2018,4,Accessories,205732.58
2018,4,Clothing,132944.64
2018,4,Electronics,153163.76
2018,4,Furniture,118173.08
2018,4,Kitchen,134655.33
2018,4,Outdoors,116811.79
2018,5,Accessories,189641.8
2018,5,Clothing,175285.61
2018,5,Electronics,106798.51
2018,5,Furniture,99037.64
2018,5,Kitchen,154752.33
2018,5,Outdoors,122646.88
2018,6,Accessories,173606.94
2018,6,Clothing,191722.64
2018,6,Electronics,142722.22
2018,6,Furniture,140445.61
2018,6,Kitchen,154993.94
2018,6,Outdoors,141404.84
2018,7,Accessories,200567.65
2018,7,Clothing,172338.55
2018,7,Electronics,148689.81
2018,7,Furniture,132897.92
2018,7,Kitchen,165961.86
2018,7,Outdoors,106241.11
2018,8,Accessories,142735.32
2018,8,Clothing,176178.48
2018,8,Electronics,147758.3
2018,8,Furniture,105064.03
2018,8,Kitchen,167260.11
2018,8,Outdoors,111514.9
2018,9,Accessories,148806.62
2018,9,Clothing,159860.86
2018,9,Electronics,118569.64
2018,9,Furniture,96277.94
2018,9,Kitchen,134391.57
2018,9,Outdoors,140465.54
2018,10,Accessories,197618.25
2018,10,Clothing,179154.92
2018,10,Electronics,107731.3
2018,10,Furniture,144636.61
2018,10,Kitchen,134052.6
2018,10,Outdoors,111405.56
2018,11,Accessories,184932.04
2018,11,Clothing,174783.12
2018,11,Electronics,106955.52
2018,11,Furniture,125037.15
2018,11,Kitchen,163793.68
2018,11,Outdoors,137510.66
2018,12,Accessories,148691.88
2018,12,Clothing,166405.42
2018,12,Electronics,132413.96
2018,12,Furniture,132571.27
2018,12,Kitchen,137412.72
2018,12,Outdoors,153277.92
2019,1,Accessories,200710.11
2019,1,Clothing,173156.17
2019,1,Electronics,126630.76
2019,1,Furniture,112163.43
2019,1,Kitchen,163109.13
2019,1,Outdoors,119380.95
2019,2,Accessories,126423.56
2019,2,Clothing,166936.94
2019,2,Electronics,129642.69
2019,2,Furniture,115626.36
2019,2,Kitchen,177169.15
2019,2,Outdoors,141083.85
2019,3,Accessories,170215.1
2019,3,Clothing,167960.35
2019,3,Electronics,166413.61
2019,3,Furniture,115835.87
2019,3,Kitchen,131562.58
2019,3,Outdoors,106187.97
2019,4,Accessories,134021.9
2019,4,Clothing,204471.5
2019,4,Electronics,159996.11
2019,4,Furniture,98988.94
2019,4,Kitchen,140804.51
2019,4,Outdoors,130228.56
2019,5,Accessories,221956.54
2019,5,Clothing,166984.02
2019,5,Electronics,185459.6
2019,5,Furniture,154211.97
2019,5,Kitchen,144312.19
2019,5,Outdoors,130586.3
2019,6,Accessories,180795.47
2019,6,Clothing,176362.36
2019,6,Electronics,103300.83
2019,6,Furniture,123330.88
2019,6,Kitchen,142787.23
2019,6,Outdoors,121630.11
2019,7,Accessories,166480.2
2019,7,Clothing,195076.86
2019,7,Electronics,162110.84
2019,7,Furniture,117390.05
2019,7,Kitchen,157353.88
2019,7,Outdoors,98974.77
2019,8,Accessories,194874.9
2019,8,Clothing,220340.41
2019,8,Electronics,130253.99
2019,8,Furniture,128556.44
2019,8,Kitchen,197587.05
2019,8,Outdoors,112782.32
2019,9,Accessories,180633.72
2019,9,Clothing,176276.79
2019,9,Electronics,157666.01
2019,9,Furniture,108382.71
2019,9,Kitchen,136737.94
2019,9,Outdoors,87740.54
2019,10,Accessories,124058.0
2019,10,Clothing,178346.98
2019,10,Electronics,139383.62
2019,10,Furniture,144603.39
2019,10,Kitchen,160953.28
2019,10,Outdoors,101094.51
2019,11,Accessories,176445.5
2019,11,Clothing,230431.41
2019,11,Electronics,118839.58
2019,11,Furniture,122829.43
2019,11,Kitchen,122166.63
2019,11,Outdoors,118667.84
2019,12,Accessories,199437.96
2019,12,Clothing,172517.59
2019,12,Electronics,178249.81
2019,12,Furniture,128885.6
2019,12,Kitchen,133350.74
2019,12,Outdoors,147589.21
2020,1,Accessories,178598.2
2020,1,Clothing,179615.93
2020,1,Electronics,123278.06
2020,1,Furniture,134567.27
2020,1,Kitchen,143728.04
2020,1,Outdoors,117119.46
2020,2,Accessories,221380.0
2020,2,Clothing,213321.88
2020,2,Electronics,146245.41
2020,2,Furniture,119886.72
2020,2,Kitchen,134095.26
2020,2,Outdoors,109358.94
2020,3,Accessories,131226.25
2020,3,Clothing,204436.7
2020,3,Electronics,109626.99
2020,3,Furniture,102824.41
2020,3,Kitchen,148989.94
2020,3,Outdoors,126874.8
2020,4,Accessories,152413.15
2020,4,Clothing,191408.08
2020,4,Electronics,151094.72
2020,4,Furniture,104765.21
2020,4,Kitchen,160925.08
2020,4,Outdoors,145950.05
2020,5,Accessories,181065.54
2020,5,Clothing,151521.17
2020,5,Electronics,155056.8
2020,5,Furniture,141284.83
2020,5,Kitchen,147787.32
2020,5,Outdoors,137933.49
2020,6,Accessories,159329.04
2020,6,Clothing,150805.71
2020,6,Electronics,114164.96
2020,6,Furniture,109301.32
2020,6,Kitchen,139362.4
2020,6,Outdoors,118252.09
2020,7,Accessories,187401.49
2020,7,Clothing,188251.12
2020,7,Electronics,169207.9
2020,7,Furniture,105125.68
2020,7,Kitchen,161936.02
2020,7,Outdoors,117641.58
2020,8,Accessories,150857.4
2020,8,Clothing,179306.63
2020,8,Electronics,112710.09
2020,8,Furniture,125104.63
2020,8,Kitchen,157259.34
2020,8,Outdoors,100851.67
2020,9,Accessories,139189.51
2020,9,Clothing,220017.19
2020,9,Electronics,102399.3
2020,9,Furniture,133132.23
2020,9,Kitchen,151457.13
2020,9,Outdoors,101604.44
2020,10,Accessories,202787.28
2020,10,Clothing,182794.31
2020,10,Electronics,160916.85
2020,10,Furniture,111000.41
2020,10,Kitchen,192861.67
2020,10,Outdoors,112605.21
2020,11,Accessories,146851.37
2020,11,Clothing,141619.06
2020,11,Electronics,125292.03
2020,11,Furniture,104610.54
2020,11,Kitchen,173926.01
2020,11,Outdoors,138395.29
2020,12,Accessories,141675.34
2020,12,Clothing,192095.68
2020,12,Electronics,133426.56
2020,12,Furniture,121123.77
2020,12,Kitchen,209045.66
2020,12,Outdoors,139662.73
2021,1,Accessories,177788.8
2021,1,Clothing,190015.03
2021,1,Electronics,122992.96
2021,1,Furniture,115505.72
2021,1,Kitchen,185235.24
2021,1,Outdoors,135917.49
2021,2,Accessories,154908.36
2021,2,Clothing,189387.58
2021,2,Electronics,109298.25
2021,2,Furniture,115629.63
2021,2,Kitchen,142148.99
2021,2,Outdoors,112256.55
2021,3,Accessories,147111.72
2021,3,Clothing,237249.8
2021,3,Electronics,106182.45
2021,3,Furniture,108431.85
2021,3,Kitchen,167169.09
2021,3,Outdoors,131579.66
2021,4,Accessories,161494.7
2021,4,Clothing,172366.75
2021,4,Electronics,178716.83
2021,4,Furniture,95933.45
2021,4,Kitchen,148366.73
2021,4,Outdoors,123644.79
2021,5,Accessories,170275.75
2021,5,Clothing,184546.61
2021,5,Electronics,108832.52
2021,5,Furniture,154662.62
2021,5,Kitchen,153036.38
2021,5,Outdoors,134482.51
2021,6,Accessories,152271.9
2021,6,Clothing,163265.55
2021,6,Electronics,141293.62
2021,6,Furniture,111048.5
2021,6,Kitchen,134474.64
2021,6,Outdoors,117298.87
2021,7,Accessories,140458.1
2021,7,Clothing,154686.5
2021,7,Electronics,180764.25
2021,7,Furniture,153682.58
2021,7,Kitchen,144722.5
2021,7,Outdoors,97393.54
2021,8,Accessories,135476.4
2021,8,Clothing,207574.94
2021,8,Electronics,148594.82
2021,8,Furniture,127653.91
2021,8,Kitchen,147783.86
2021,8,Outdoors,104631.01
2021,9,Accessories,155186.69
2021,9,Clothing,184810.53
2021,9,Electronics,142874.79
2021,9,Furniture,134251.49
2021,9,Kitchen,166677.29
2021,9,Outdoors,93095.48
2021,10,Accessories,198967.62
2021,10,Clothing,167005.43
2021,10,Electronics,149350.17
2021,10,Furniture,129523.4
2021,10,Kitchen,133406.62
2021,10,Outdoors,125467.45
2021,11,Accessories,146747.55
2021,11,Clothing,173147.17
2021,11,Electronics,139365.18
2021,11,Furniture,131738.55
2021,11,Kitchen,162756.84
2021,11,Outdoors,96483.16
2021,12,Accessories,167620.78
2021,12,Clothing,193149.27
2021,12,Electronics,146062.15
2021,12,Furniture,153114.19
2021,12,Kitchen,204785.17
2021,12,Outdoors,104888.17
2022,1,Accessories,165206.24
2022,1,Clothing,171492.31
2022,1,Electronics,112720.12
2022,1,Furniture,178262.98
2022,1,Kitchen,174557.73
2022,1,Outdoors,95410.08
2022,2,Accessories,158615.11
2022,2,Clothing,192111.46
2022,2,Electronics,133168.95
2022,2,Furniture,95999.13
2022,2,Kitchen,116274.66
2022,2,Outdoors,131704.76
2022,3,Accessories,192336.9
2022,3,Clothing,159610.42
2022,3,Electronics,127879.16
2022,3,Furniture,107145.38
2022,3,Kitchen,141044.11
2022,3,Outdoors,118987.12
2022,4,Accessories,139685.94
2022,4,Clothing,198141.48
2022,4,Electronics,135922.6
2022,4,Furniture,144118.44
2022,4,Kitchen,189895.15
2022,4,Outdoors,97211.47
2022,5,Accessories,151874.29
2022,5,Clothing,170706.42
2022,5,Electronics,123381.9
2022,5,Furniture,157567.66
2022,5,Kitchen,160203.82
2022,5,Outdoors,133532.25
2022,6,Accessories,156368.12
2022,6,Clothing,221887.76
2022,6,Electronics,134018.87
2022,6,Furniture,124573.04
2022,6,Kitchen,192835.5
2022,6,Outdoors,158297.94
2022,7,Accessories,114305.35
2022,7,Clothing,209785.25
2022,7,Electronics,114921.17
2022,7,Furniture,154188.82
2022,7,Kitchen,194566.79
2022,7,Outdoors,134681.09
2022,8,Accessories,187677.23
2022,8,Clothing,164182.01
2022,8,Electronics,167002.82
2022,8,Furniture,105696.34
2022,8,Kitchen,166794.57
2022,8,Outdoors,131618.96
2022,9,Accessories,153200.32
2022,9,Clothing,180103.38
2022,9,Electronics,116728.28
2022,9,Furniture,118084.11
2022,9,Kitchen,167713.84
2022,9,Outdoors,87549.29
2022,10,Accessories,142468.21
2022,10,Clothing,177327.43
2022,10,Electronics,123651.47
2022,10,Furniture,136501.33
2022,10,Kitchen,234414.55
2022,10,Outdoors,100088.04
2022,11,Accessories,164715.12
2022,11,Clothing,145836.58
2022,11,Electronics,188888.27
2022,11,Furniture,132922.31
2022,11,Kitchen,167595.4
2022,11,Outdoors,110283.64
2022,12,Accessories,198856.62
2022,12,Clothing,160622.34
2022,12,Electronics,183320.89
2022,12,Furniture,97643.81
2022,12,Kitchen,156847.38
2022,12,Outdoors,111803.44
2023,1,Accessories,188500.12
2023,1,Clothing,170755.78
2023,1,Electronics,159209.44
2023,1,Furniture,130950.61
2023,1,Kitchen,145874.29
2023,1,Outdoors,118895.48
2023,2,Accessories,137228.51
2023,2,Clothing,162083.18
2023,2,Electronics,100241.4
2023,2,Furniture,117395.99
2023,2,Kitchen,150300.26
2023,2,Outdoors,118442.27
2023,3,Accessories,171813.7
2023,3,Clothing,239179.54
2023,3,Electronics,151863.76
2023,3,Furniture,96533.47
2023,3,Kitchen,170467.2
2023,3,Outdoors,123208.64
2023,4,Accessories,132406.49
2023,4,Clothing,198400.19
2023,4,Electronics,143612.57
2023,4,Furniture,101492.47
2023,4,Kitchen,165314.39
2023,4,Outdoors,113696.01
2023,5,Accessories,155518.01
2023,5,Clothing,161681.06
2023,5,Electronics,137628.44
2023,5,Furniture,108263.28
2023,5,Kitchen,180504.21
2023,5,Outdoors,143114.77
2023,6,Accessories,196693.94
2023,6,Clothing,183003.19
2023,6,Electronics,134774.86
2023,6,Furniture,103268.99
2023,6,Kitchen,105844.57
2023,6,Outdoors,103452.28
2023,7,Accessories,174245.48
